step,count,min,max,avg
34,1,5,5,5.0
38,1,383,383,383.0
39,3,29,595,229.66666666666666
40,4,68,1175,484.5
41,4,1,185,112.5
42,3,294,1056,650.3333333333334
43,5,111,710,342.8
44,10,40,41419,5215.3
45,4,639,5491,2154.5
46,18,80,4990,1494.388888888889
47,19,204,18656,4075.5263157894738
48,25,165,28430,6290.4
49,35,77,65451,11867.057142857142
50,32,524,58916,10840.96875
51,34,353,214604,17909.558823529413
52,48,615,420401,29804.645833333332
53,35,364,454264,40076.45714285714
54,30,136,270949,40613.5
55,32,864,543879,93533.6875
56,34,1980,1197034,114286.23529411765
57,32,3972,1848192,200846.90625
58,25,5475,794277,201490.4
59,21,11508,2161355,414359.85714285716
60,24,14702,2295963,423723.1666666667
61,13,14616,1269698,376025.1538461539
62,7,59566,8993990,2265750.714285714
63,7,12277,5686796,989122.7142857143
65,1,460043,460043,460043.0
66,1,2888649,2888649,2888649.0
